FilePath|Title|Author|Originator|Revision Number|Creation Time|Part Number|Material|Designer|Mass|TotalMass|PRODHIERARCHY|MATGROUP|MATERIALTYPE|MATDESC1|MATDESC2|MATDESC3|EXTMATGROUP|TITLE1|TITLE2|TITLE3|RAD1|RAD2|RAD3|TECHDESC|ALLViewScales|CLASSIFICATION|DATE CREATED|PaperSIZE|REVISIONCURRENT|LAB_OFFICE|UNIT_OF_MEASURE|Description|NETWEIGHT|DRAWNDATE|HDMATWT
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\150\MM0370683.ipt|Plate|MANENGINMA|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0370683|S235JRG2|MANENGINMA|20627.5880013384|not_found|M38140 - Standard Screen and Vibrating Spares|MA - METAL FABRICATION - CUT & MACHINED PARTS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|TITLE3 doest not exist|not_found|not_found|not_found|445 x 225 x 30|not_found|RESTRICTED|2012-03-21|not_found|01|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|20,6 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\150\MM0383143.ipt|Plate|manhensesi|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0383143|S235JRG2|MANENGINMA|27581.9506684512|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|595 x 200 x 30|not_found|not_found|not_found|595 x 200 x 30|not_found|RESTRICTED|2019-05-08|not_found|01|135 - Mining Screens - Global|EA|Plate|not_found|not_found|27,6 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\175 3degree\AX00-100044416.ipt|Plate|manhensesi|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|AX00-100044416|S235J2|MANENGINMA|38922.5057938444|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|745 x 225 x 30|not_found|not_found|not_found|745 x 225 x 30|not_found|RESTRICTED|7/1/2021|not_found|01|135 - Mining Screens - Global|EA|Plate|not_found|not_found|38,923 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\80\AX00-100019856.ipt|Bar|manhensesi|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|AX00-100019856|Hardox 500|MANENGINMA|62958.6|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|GRIZZLY BAR|not_found|not_found|Z272 - LOW-HEAD|not_found|not_found|1200 x 151 x 50|not_found|not_found|not_found|1200 x 151 x 50|not_found|RESTRICTED|2019-09-26|not_found|01|135 - Mining Screens - Global|not_found|Description doest not exist|not_found|not_found|63,0 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\MM0370716.ipt|Bar|manhensesi|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0370716|Hardox 500|MANENGINMA|52612.875|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|GRIZZLY BAR|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|1575 x 120 x 50|not_found|not_found|not_found|1575 x 120 x 50|not_found|RESTRICTED|2019-05-08|not_found|02|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|52,5 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\MM0383157.ipt|Bar|MANENGINMA|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0383157|Hardox400|MANENGINMA|114982.875|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|not_found|GRIZZLY BAR|not_found|not_found|Z273 - MULTIFLO|not_found|not_found|not_found|not_found|not_found|not_found|not_found|not_found|RESTRICTED|not_found|not_found|01|135 - Mining Screens - Global|not_found|Bar Long Discharge|not_found|not_found|115,0 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Sideplate\Spring bracket dis\AX00-100016779.ipt|AX00-100016779|manhensesi|not_found|Revision Number doest not exist|5/10/2019 12:00:00 AM|AX00-100016779|ASTM A36|manhensesi|27748.2006184423|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|1250 x 418 x 12|not_found|not_found|not_found|1250 x 418 x 12|not_found|RESTRICTED|2019-05-10|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|27,7 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Sideplate\Spring bracket dis\AX00-100048038.ipt|AX00-100048038|manhensesi|not_found|Revision Number doest not exist|7/9/2019 12:00:00 AM|AX00-100048038|S235J2|manhensesi|252910.704916034|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|BRACKET|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|LH|not_found|not_found|not_found|LH|not_found|RESTRICTED|2021-11-03|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|252,911 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Sideplate\Stiffener\AX00-100016173.ipt|AX00-100016173|manhensesi|not_found|Revision Number doest not exist|5/8/2019 12:00:00 AM|AX00-100016173|ASTM A36|manhensesi|395789.925584347|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|STIFFENER|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|RH|not_found|not_found|not_found|RH|not_found|RESTRICTED|2019-05-08|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|395,8 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Sideplate\Stiffener\AX00-100017208.ipt|L100x100x10x500 -|manhensesi|not_found|Revision Number doest not exist|1/20/2018 12:00:00 AM|AX00-100017208|S235JR|manhensesi|114525.653767567|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|STIFFENING ANGLE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|L100 x100 x10 x 7881|not_found|not_found|not_found|L100 x100 x10 x 7881|not_found|RESTRICTED|2016-12-09|not_found|02|135 - Mining Screens - Global|EA|Hot-rolled structural steel section-Equal angles|not_found|not_found|116
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Sideplate\Stiffener\AX00-100017208_UNFOLDED.ipt|Title doest not exist|manhensesi|not_found|Revision Number doest not exist|1/20/2018 12:00:00 AM|AX00-100017208_UNFOLDED|S235JR|manhensesi|114509.775386984|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|ANGLE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|TITLE3 doest not exist|not_found|not_found|not_found|L100x100x10x500|not_found|RESTRICTED|2016-12-09|not_found|01|135 - Mining Screens - Global|not_found|Hot-rolled structural steel section-Equal angles|not_found|not_found|114.5
