Assembly_Path,PRODHIERARCHY,MATGROUP,MATERIALTYPE,EXTMATGROUP,LAB_OFFICE,HDMATWT
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015199.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015252.0105.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015377.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015391.0006.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015400.0003.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015409.0010.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015433.0011.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015770.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100015796.0003.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016117.0012.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016118.0002.ipt,M38140 ,MA,,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016157.0007.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016173.0018.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016779.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100016854.0003.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017208.0014.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017208_UNFOLDED.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-1000173981.0003.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017437.0011.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017503.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017592.0012.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017720.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017760.0128.ipt,M38140 ,EG,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017773.0031.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017798.0028.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100017832.0011.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018262.0011.ipt,M38140 ,MA,YHAM,Z271,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018315.0010.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018321.0008.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018321_UNFOLDED.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018364.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018375.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018500.0045.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018561.0020.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018571.0013.ipt,M38140 ,MB,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018579.0007.ipt,M38140 ,MA,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018605.0017.ipt,M38140 ,MB,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018624.0006.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018726.0007.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018733.0032.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018904.0012.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100018957.0026.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100019117.0068.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100019245.0006.ipt,M38140 ,MA,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100019272.0002.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100019290.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100019856.0016.ipt,M38140 ,EG,YHAM,Z272,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020166.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020220.0012.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020334.0029.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020615.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020621.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020629.0006.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020636.0005.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020643.0007.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020650.0006.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020677.0007.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020683.0006.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020943.0004.ipt,M38140 ,EG,YHAM,Z273,135,
C:\Temp\Test02_versionUpgrad\All_IPT\AX00-100020953.0002.ipt,M38140 ,EG,YHAM,Z273,135,
